5.1449e+05,4233,1.5842e+05,45415,3.1267e+05,8474,1.5965e+05,6764,974,44620,47,80138,27394,27592,1.2635e+06,1
2.9892e+05,3729,52239,7311,1.2726e+05,21809,30296,1444,1.1347e+05,2716.6,27191,2.36e+05,3361,19802,8.6753e+05,1
2.8269e+05,12358,58495,2319,1.7401e+05,21915,86562,8327,599,1270,28439,96285,28138,12767,7.1366e+05,1
9473,9,15687,129,2631,2106,5933,1370,68,262.32,2625.7,2487,672,827,39271,1
33112,6333.4,81022,34269,23239,8030.3,1950,1195,16,1000.3,152,39698,8088,6215,2.2288e+05,1
7292,2698,15151,1644,7516,2192,3939,2177,1199,151,779,15061,1033,1008,58187,1
97447,7994.2,39200,9938,1.4308e+05,10136,1.0166e+05,3771,153,3269,12638,51578,6515,25706,4.492e+05,1
1.8537e+05,2323.8,1.092e+05,28517,2.3665e+05,56.93,80702,6435.1,14238,3014.2,4332.9,2.4841e+05,29768,23959,9.108e+05,1
15961,10714,11915,2354,16069,2983,21922,4217,51,1,4325,12502,4309,7591,1.0588e+05,1
1.9646e+05,7909,1.4452e+05,30009,1.4124e+05,28118,99150,7294,448,2502,33254,49773,18746,8647,6.9958e+05,1
1.5087e+05,3518.6,76658,4314.6,90040,1145.4,18641,13041,192.13,2467.1,249.14,80073,7725.4,12883,4.2382e+05,1
7.6204e+06,1.5196e+05,4.8924e+06,5.1518e+05,5.2943e+06,18248,1.1783e+06,3.2346e+05,7.8348e+05,14051,1460.4,4.0906e+06,5.7521e+05,4.7798e+05,2.3648e+07,1
56203,653,55859,4802,55469,139,21897,11979,162,4706,12759,46727,10325,4221,2.6624e+05,1
479,632.22,1529,242.19,1062,801.62,1263.7,389,3,99.85,999.44,1003,9,258,6259,1
1.3693e+05,2788.5,36380,1068.2,1.4506e+05,3535.7,48869,1652,361,440.4,4408.2,43814,4016,8263,4.0053e+05,1
1.3017e+05,4465.8,55022,12452,25336,5662.4,3700,1318,31,100,7059.8,40076,2558,10467,2.7173e+05,1
93107,759,62841,2008,99322,11612,14754,14277,121,946,14477,47803,4112,12709,3.3109e+05,1
96443,3183.9,2188,1219.7,7618,4037,7834,1588,281.37,502.85,5033.2,2666,8502,3960,1.2836e+05,1
15445,15816,58822,1838,52807,128,21721,19682,440,93,6953,14308,6837,5240,2.0179e+05,1
3.9137e+05,713,2.9759e+05,7900,96459,25686,21892,9752,118,3199.5,4512,40810,12571,13793,8.459e+05,1
3.1593e+05,52304,77730,13973,2.4524e+05,75222,1.3845e+05,19898,1885.5,2724.7,11771,25193,22059,40028,9.4119e+05,1
10539,9189.8,8729.5,1318,14387,1129.9,2546,4198.9,30.346,201.3,9219.1,314.59,1248.2,1898,60019,1
2.853e+05,8499,16816,1.5013e+05,1.8852e+05,10776,1.8468e+05,11727,751.08,1342.3,13436,33079,22723,16037,8.6344e+05,1
78367,14276,38429,20247,1.2896e+05,11869,29063,2916,5903,1478.4,727,28347,2042,20988,3.414e+05,1
5160,803.67,31072,1909,7323,1019,1606.4,20,5,126.93,1904,55,737,3375,50259,1
88258,2847.9,1.1012e+05,4314,70605,3611,39348,6048,104,2355,4502.1,62505,13049,8953,3.8279e+05,1
7354,3324,44354,3371,27632,4365,15490,2785,3418,913,14351,81059,6003,4973,2.0301e+05,1
1.1460e+05,5839,42247,2125,59588,1225,21906,8398,220,282.21,2824.8,62591,4593,10363,3.1238e+05,1
2.7678e+05,5048.8,43560,34905,2.7064e+05,6401.5,2.6899e+05,9435,166,797.38,1.0595e+05,18974,4795,18576,9.8174e+05,1
7695,90,7745,1273.6,3586,1113,7914,82,293.8,277,5255.6,3581,1540,1276,33672,1
9581,2788,12058,4118,16077,367,4473,1339,2058,317,1180,29800,757,2390,81577,1
942,280,1450,761,3853,1440,3035,424,413,78.063,781.37,1857.6,851,1627,15938,1
22610,1330,32011,560,6592,8992,25050,5434,669,230,5730,21526,6966,5639,1.3211e+05,1
42124,21020,2.5872e+05,29655,54931,26653,75560,347,178,3319.9,11750,81866,2707,23394,5.7631e+05,1
29040,370,78786,5244,2.0853e+05,6438.5,59528,8727,506,30,8027.5,62583,13256,11141,4.5111e+05,1
618,1633,3343,308,772,1094,3738,3189,6,691,4357,10791,666,1053,28218,1
1.3219e+06,6.8386e+05,7.7751e+05,2.6197e+05,5.1896e+06,1.1237e+05,9.4343e+05,3.3282e+05,8.1594e+05,67108,6.5427e+06,4.771e+05,1.2914e+05,2.0935e+05,1.6888e+07,1
2.787e+05,32808,51312,33879,7.1904e+05,41599,41916,586,18714,5181.6,51865,2.1002e+05,20049,17586,1.392e+06,1
